question,reference_answer,answer,score,dataset,dataset_num,normalized_score,before,score_bin
Sebutkan 6 cara belanja (shopping) yang baik dan efektif?,1 buatlah list barang apa saja yang harus dibeli 2 utamakan kebutuhan daripada keinginan 3 bandingkan dulu komposisi kualitas dan kuantitas barang sebelum dibeli 4 jangan mudah tergiur barang barang diskon 5 teliti barang sebelum membeli 6 pilihlah mana barang yang yang bisa dibeli secara grosir atau eceran,membawa tas berisi aroma sendiri memperoleh sesuai keperluan membeli barang yang terjangkau,12,analisis_essay,analisis_essay-5,0.12,membawa kantong keresek sendiri membeli sesuai kebutuhan membeli barang yang murah,10-19
"Apa perbedaan dari data, informasi dan pengetahuan? ",data merupakan rangkaian fakta yang mewakili suatu kejadian atau dapat di sebut dengan simbol yang terekam informasi adalah makna yang dapat di tafsirkan dari data pengetahuan adalah informasi yang telah dimaknai sehingga dapat digunakan untuk meningkatkan pengertian atau pemahaman,data adalah sebuah catatan atas sekumpulan fakta informasi adalah sekumpulan data mentah yang telah diolah menjadi sesuatu yang dapat menguntungkan user pengetahuan adalah sekumpulan informasi yang mengakibatkan user menjadi belajar dan mendapatkan wawasan baru,59,analisis_essay,analisis_essay-34,0.59,data adalah sebuah catatan atas sekumpulan fakta informasi adalah sekumpulan data mentah yang telah diolah menjadi sesuatu yang dapat menguntungkan user pengetahuan adalah sekumpulan informasi yang mengakibatkan user menjadi belajar dan mendapatkan wawasan baru,50-59
Sebutkan 5 partai yang biasa dilombakan dalam bulu tangkis. ,tunggal putra tunggal putri ganda putra ganda putri ganda campuran,tunggal putra tunggal putri ganda campuran ganda putra ganda putri,100,analisis_essay,analisis_essay-19,1.0,tunggal putra tunggal putri ganda campuran ganda putra ganda putri,90-99
"Jelaskan fungsi partai politik, berkaitan dengan kekuasaan pemerintahan. (Usahakan jawab dalam 2-4 kalimat) ",partai politik sebagai organisasi resmi untuk menyalurkan aspirasi masyarakat partai politik memiliki kekuatan politik serta ikut menentukan proses pembentukan kekuasaan pemerintah secara legal diakui hukum juga mempunyai hak beraktifitas merebut dan mempertahankan kekuasaan politik,1 pendidikan politik bagi anggota dan masyarakat luas agar mencari warga negara indonesia 2 menciptakan iklim yang kondusif bagi persatuan dan kesatuan 3 menyalurkan aspirasi politik dalam masyarakan luas 4 rekruitmen politik dalam proses pengisian jabatan,57,analisis_essay,analisis_essay-21,0.57,1 pendidikan politik bagi anggota dan masyarakat luas agar mencari warga negara indonesia 2 menciptakan iklim yang kondusif bagi persatuan dan kesatuan 3 menyalurkan aspirasi politik dalam masyarakan luas 4 rekruitmen politik dalam proses pengisian jabatan,50-59
Sebutkan nama versi android dari Cupcake hingga saat ini. ,cupcake donut eclair froyo gingerbread honeycomb ice cream sandwich jelly bean kitkat dan lolypop,Kue bolu donat eclaire froyo kulit pisang sarang burung es krim sandwich jellybeans kitkat lolipop martabak,76,analisis_essay,analisis_essay-38,0.76,cupcake donat eclaire froyo gingabeard honeycomb ice cream sandwich jellybeans kitkat lolipop martabak,70-79
Sebutkan 5 partai yang biasa dilombakan dalam bulu tangkis. ,tunggal putra tunggal putri ganda putra ganda putri ganda campuran,duet putra duet putri duet campuran putra putri,78,analisis_essay,analisis_essay-19,0.78,ganda putra ganda putri ganda campuran putra putri,70-79
Sebutkan 5 partai yang biasa dilombakan dalam bulu tangkis. ,tunggal putra tunggal putri ganda putra ganda putri ganda campuran,solois tunggal pasangan campuran ganda solois ganda,100,analisis_essay,analisis_essay-19,1.0,tunggal putra tunggal putri ganda campuran ganda putra ganda putri,90-99
Jelaskan kegunaan karbohidrat untuk tubuh kita.,fungsi karbohidrat adalah sebagai pemasok energi dapat memperlancar proses pada pencernaan memberikan efek kenyang dengan kandungan selulosa nya dan penyeimbang asam dan basa dalam tubuh,Glukosa memiliki andil krusial untuk reaksi metabolisme atau proses yang berperan menyeimbangkan asam dan basa dalam tubuh glukosa dapat menanggulangi terjadinya ketidakhatan proses oksidasi lemak fungsi glukosa yang pokok adalah sebagai sumber tenaga makanan berkarbohidrat dan serat tinggi dapat membantu mengoptimalkan proses pada pencernaan,82,analisis_essay,analisis_essay-1,0.82,karbohidrat mempunyai peran penting untuk proses metabolisme atau proses yang berfungsi sebagai penyeimbang asam dan basa dalam tubuh karbohidrat dapat mencegah terjadinya ketidaksempurnaan proses oksidasi lemak fungsi karbohidrat yang utama adalah sebagai pemasok energi makanan berkarbohidrat dan serat tinggi dapat membantu memperlancar proses pada pencernaan,80-89
"Apa yang anda ketahui mengenai Negara Demokrasi? (Mengenai pengertian, peran rakyat dan mencakup bidang apa saja. Usahakan jawab dalam 2-4 kalimat) ",negara demokrasi adalah suatu negara yang pemerintahannya dipegang oleh rakyat dan rakyat memiliki kedaulatan tertinggi demokrasi mengizinkan warga negara berpartisipasi baik secara langsung atau melalui perwakilan dalam perumusan pengembangan dan pembuatan hukum demokrasi mencakup kondisi sosial ekonomi dan budaya yang memungkinkan adanya praktik kebebasan politik secara bebas dan setara,Demokrasi adalah bentuk pemerintahan di mana semua warga negaraanya memiliki hak setara dalam pengambilalihan keputusan yang dapat mengubah hidup mereka. Pemerintahan mengizinkan warga negara berpartisipasi baik secara langsung atau melalui perwakilan dalam perumusan perkembangan dan perbuatan hukum. Pemerintahan mencakup kondisi sosial ekonomi dan budaya yang memungkinkan adanya praktik kebebasan politik secara bebas dan setara. Kata ini berasal dari bahasa yunani d mokrat a kekuasaan rakyat 1 yang terbentuk dari d mos rakyat dan kratos kekuatan atau kekuasaan pada abad ke 5 sm untuk menyebut sistem politik negara kota yunani salah satunya athena. Kata ini merupakan antonim dari aristocratie kekuasaan elit secara teoretis kedua definisi tersebut saling bertentangan namun kenyataannya sudah tidak jelas lagi 2 sistem politik athena klasik misalnya memberikan kewarganegaraan demokratis kepada pria elit yang bebas dan tidak menyertakan budak dan wanita dalam partisipasi politik di semua pemerintahan demokrasi sepanjang sejarah kuno dan modern kewarganegaraan demokratis tetap ditempati kaum elit sampai semua penduduk dewasa di sebagian besar negara demokrasi modern benar benar bebas setelah perjuangan gerakan hak suara pada abad ke 19 dan 20 kata demokrasi democracy sendiri sudah ada sejak abad ke 16 dan berasal dari bahasa perancis pertengahan dan latin pertengahan lama suatu pemerintahan demokratis berbeda dengan bentuk pemerintahan yang kekuasaannya dipegang satu orang seperti monarki atau sekelompok kecil seperti oligarki apapun itu perbedaan perbedaan yang berasal dari filosofi yunani ini 3 sekarang tampak ambigu karena beberapa pemerintahan kontemporer mencampur aduk elemen elemen demokrasi oligarki dan monarki karl popper mendefinisikan demokrasi sebagai sesuatu yang berbeda dengan kediktatoran atau tirani sehingga berfokus pada kesempatan bagi rakyat untuk mengendalikan para pemimpinnya dan menggulingkan mereka tanpa perlu melakukan revolusi 4 ada beberapa jenis demokrasi tetapi hanya ada dua bentuk dasar keduanya menjelaskan cara seluruh rakyat menjalankan keinginannya bentuk demokrasi yang pertama adalah demokrasi langsung yaitu semua warga negara berpartisipasi langsung dan aktif dalam pengambilan keputusan pemerintahan di kebanyakan negara demokrasi modern seluruh rakyat masih merupakan satu kekuasaan berdaulat namun kekuasaan politiknya dijalankan secara tidak langsung melalui perwakilan ini disebut demokrasi perwakilan konsep demokrasi perwakilan muncul dari ide ide dan institusi yang berkembang pada abad pertengahan eropa era pencerahan dan revolusi amerikat serikat dan perancis,52,analisis_essay,analisis_essay-25,0.52,demokrasi adalah bentuk pemerintahan di mana semua warga negaranya memiliki hak setara dalam pengambilan keputusan yang dapat mengubah hidup mereka demokrasi mengizinkan warga negara berpartisipasi baik secara langsung atau melalui perwakilan dalam perumusan pengembangan dan pembuatan hukum demokrasi mencakup kondisi sosial ekonomi dan budaya yang memungkinkan adanya praktik kebebasan politik secara bebas dan setara kata ini berasal dari bahasa yunani d mokrat a kekuasaan rakyat 1 yang terbentuk dari d mos rakyat dan kratos kekuatan atau kekuasaan pada abad ke 5 sm untuk menyebut sistem politik negara kota yunani salah satunya athena kata ini merupakan antonim dari aristocratie kekuasaan elit secara teoretis kedua definisi tersebut saling bertentangan namun kenyataannya sudah tidak jelas lagi 2 sistem politik athena klasik misalnya memberikan kewarganegaraan demokratis kepada pria elit yang bebas dan tidak menyertakan budak dan wanita dalam partisipasi politik di semua pemerintahan demokrasi sepanjang sejarah kuno dan modern kewarganegaraan demokratis tetap ditempati kaum elit sampai semua penduduk dewasa di sebagian besar negara demokrasi modern benar benar bebas setelah perjuangan gerakan hak suara pada abad ke 19 dan 20 kata demokrasi democracy sendiri sudah ada sejak abad ke 16 dan berasal dari bahasa perancis pertengahan dan latin pertengahan lama suatu pemerintahan demokratis berbeda dengan bentuk pemerintahan yang kekuasaannya dipegang satu orang seperti monarki atau sekelompok kecil seperti oligarki apapun itu perbedaan perbedaan yang berasal dari filosofi yunani ini 3 sekarang tampak ambigu karena beberapa pemerintahan kontemporer mencampur aduk elemen elemen demokrasi oligarki dan monarki karl popper mendefinisikan demokrasi sebagai sesuatu yang berbeda dengan kediktatoran atau tirani sehingga berfokus pada kesempatan bagi rakyat untuk mengendalikan para pemimpinnya dan menggulingkan mereka tanpa perlu melakukan revolusi 4 ada beberapa jenis demokrasi tetapi hanya ada dua bentuk dasar keduanya menjelaskan cara seluruh rakyat menjalankan keinginannya bentuk demokrasi yang pertama adalah demokrasi langsung yaitu semua warga negara berpartisipasi langsung dan aktif dalam pengambilan keputusan pemerintahan di kebanyakan negara demokrasi modern seluruh rakyat masih merupakan satu kekuasaan berdaulat namun kekuasaan politiknya dijalankan secara tidak langsung melalui perwakilan ini disebut demokrasi perwakilan konsep demokrasi perwakilan muncul dari ide ide dan institusi yang berkembang pada abad pertengahan eropa era pencerahan dan revolusi amerika serikat dan perancis,50-59
Sebutkan 5 butir sila Pancasila. ,ketuhanan yang maha esa kemanusiaan yang adil dan beradab persatuan indonesia kerakyatan yang dipimpin oleh hikmat kebijaksanaan dalam permusyawaratan perwakilan keadilan sosial bagi seluruh rakyat indonesia,ketuhanan yang maha esa keadilan bagi seluruh rakyat indonesia persatuan indonesia keadilan bagi seluruh rakyat indonesia,40,analisis_essay,analisis_essay-24,0.4,ketuhanan yang maha esa keadilan bagi seluruh rakyat indonesia persatuan indonesia keadilan bagi seluruh rakyat indonesia,30-39
